
t=183.606 | left: 806, center: 2026, right: 4008, total: 6840 | time: 171ms
t=183.932 | left: 803, center: 2177, right: 3991, total: 6971 | time: 168ms
t=184.258 | left: 859, center: 2106, right: 4100, total: 7065 | time: 167ms
t=184.599 | left: 847, center: 2035, right: 3915, total: 6797 | time: 175ms
t=184.933 | left: 842, center: 2041, right: 3971, total: 6854 | time: 175ms
t=185.265 | left: 854, center: 2040, right: 3920, total: 6814 | time: 164ms
t=185.784 | left: 846, center: 2018, right: 4016, total: 6880 | time: 172ms
t=186.119 | left: 846, center: 2020, right: 4004, total: 6870 | time: 169ms
t=186.449 | left: 863, center: 2035, right: 4009, total: 6907 | time: 169ms
t=186.780 | left: 846, center: 2045, right: 4020, total: 6911 | time: 176ms
t=187.111 | left: 851, center: 2103, right: 4012, total: 6966 | time: 171ms
t=187.447 | left: 808, center: 1935, right: 3643, total: 6386 | time: 173ms
t=187.778 | left: 823, center: 1962, right: 3628, total: 6413 | time: 174ms
t=188.110 | left: 772, center: 2020, right: 3694, total: 6486 | time: 165ms
t=188.453 | left: 850, center: 1946, right: 3636, total: 6432 | time: 175ms
t=188.912 | left: 877, center: 2047, right: 4060, total: 6984 | time: 175ms
t=189.250 | left: 885, center: 2046, right: 3937, total: 6868 | time: 168ms
t=189.597 | left: 787, center: 2029, right: 3957, total: 6773 | time: 176ms
t=189.939 | left: 867, center: 2072, right: 4082, total: 7021 | time: 182ms
t=190.294 | left: 855, center: 2077, right: 4103, total: 7035 | time: 185ms
t=190.624 | left: 846, center: 2218, right: 3984, total: 7048 | time: 165ms
t=190.951 | left: 762, center: 2048, right: 4061, total: 6871 | time: 165ms
t=191.278 | left: 781, center: 2010, right: 4175, total: 6966 | time: 165ms
t=191.618 | left: 837, center: 2123, right: 4015, total: 6975 | time: 172ms
t=191.951 | left: 761, center: 2102, right: 4146, total: 7009 | time: 168ms
t=192.292 | left: 764, center: 2083, right: 4059, total: 6906 | time: 177ms
t=192.624 | left: 816, center: 2155, right: 3984, total: 6955 | time: 175ms
t=192.967 | left: 764, center: 2132, right: 4051, total: 6947 | time: 176ms
t=193.301 | left: 803, center: 2037, right: 4095, total: 6935 | time: 173ms
t=193.634 | left: 739, center: 2088, right: 4038, total: 6865 | time: 167ms
t=193.977 | left: 761, center: 2118, right: 4077, total: 6956 | time: 175ms
t=194.312 | left: 829, center: 2145, right: 4086, total: 7060 | time: 175ms
t=194.657 | left: 847, center: 2111, right: 4029, total: 6987 | time: 175ms
t=194.995 | left: 833, center: 2087, right: 4079, total: 6999 | time: 177ms
t=195.331 | left: 822, center: 2093, right: 4014, total: 6929 | time: 168ms
t=195.675 | left: 850, center: 2101, right: 4100, total: 7051 | time: 176ms
t=196.016 | left: 802, center: 2056, right: 4052, total: 6910 | time: 185ms
t=196.351 | left: 848, center: 2035, right: 4112, total: 6995 | time: 165ms
t=196.674 | left: 806, center: 2099, right: 4135, total: 7040 | time: 166ms
t=197.002 | left: 798, center: 2011, right: 4077, total: 6886 | time: 170ms
t=197.323 | left: 830, center: 2025, right: 4029, total: 6884 | time: 164ms
t=197.648 | left: 800, center: 2029, right: 4050, total: 6879 | time: 164ms
t=197.975 | left: 813, center: 2032, right: 4097, total: 6942 | time: 163ms
t=198.306 | left: 826, center: 2082, right: 4106, total: 7014 | time: 165ms
t=198.647 | left: 809, center: 2094, right: 3998, total: 6901 | time: 173ms
t=198.980 | left: 872, center: 2149, right: 4054, total: 7075 | time: 167ms
t=199.319 | left: 813, center: 2007, right: 3658, total: 6478 | time: 171ms
t=199.648 | left: 846, center: 2043, right: 3819, total: 6708 | time: 174ms
t=199.980 | left: 798, center: 2012, right: 3754, total: 6564 | time: 166ms
t=200.318 | left: 831, center: 2066, right: 3735, total: 6632 | time: 175ms
t=200.647 | left: 857, center: 1959, right: 3755, total: 6571 | time: 172ms
t=200.996 | left: 854, center: 1942, right: 3701, total: 6497 | time: 173ms
t=201.325 | left: 791, center: 2024, right: 4036, total: 6851 | time: 162ms
t=201.667 | left: 903, center: 1930, right: 3974, total: 6807 | time: 173ms
t=202.007 | left: 841, center: 1859, right: 4119, total: 6819 | time: 176ms
t=202.343 | left: 854, center: 2029, right: 4001, total: 6884 | time: 165ms
